paintingId,artistId,galleryId,imageFileName,title,shapeId,museumLink,accessionNumber,copyrightText,description,excerpt,yearOfWork,width,height,medium,cost,MSRP,googleLink,googleDescription,wikiLink,jsonAnnotations
69,21,13,21020,Portrait of Madame Cezanne with Loosened Hair,1,http://www.philamuseum.org/collections/permanent/82555.html,1986-26-1,Public Domain,"Portrait of Madame Cezanne with Loosened Hair (or Madame Cezanne with Unbound Hair) is an oil-on-canvas painting by French artist Paul Cezanne, variously dated from the mid 1870s to the early 1890s. Although the model, his wife Hortense Fiquet, was not supportive and did not understand or take an interest her husband's work, this is one of forty-four portraits in which she sat for him from 1869, a period during which she progressed from mistress, to wife, to ex-wife. Something of a socialite, Cezanne latterly found Fiquet often fickle and shallow, and once remarked, ""My wife only cares for Switzerland and lemonade"". The sensitivity and depth ascribed to her in this work, is likely drawn from his own personality, projected onto her image.","Although the model, his wife Hortense Fiquet, was not supportive and did not understand or take an interest her husband's work, this is one of forty-four portraits in which she sat for him from 1869, a period during which she progressed from mistress, to wife, to ex-wife.",1869,62,51,Oil on canvas,750,900,,,http://en.wikipedia.org/wiki/Portrait_of_Madame_C%C3%A9zanne_with_Loosened_Hair,"{""safeSearchAnnotation"":{""violence"":1,""racy"":1},""dominantColors"":[{""color"":{""red"":39,""green"":47,""blue"":50},""web"":""#272F32"",""name"":""Oxford Blue""},{""color"":{""red"":135,""green"":123,""blue"":106},""web"":""#877B6A"",""name"":""Sand Dune""},{""color"":{""red"":83,""green"":87,""blue"":81},""web"":""#535751"",""name"":""Battleship Grey""},{""color"":{""red"":118,""green"":113,""blue"":103},""web"":""#767167"",""name"":""Pablo""},{""color"":{""red"":157,""green"":142,""blue"":125},""web"":""#9D8E7D"",""name"":""Heathered Grey""},{""color"":{""red"":150,""green"":132,""blue"":116},""web"":""#968474"",""name"":""Almond Frost""}]}"
70,21,6,21070,Card Players,3,http://www.metmuseum.org/art/collection/search/435868,61.101.1,Open Access for Scholarly Content,"The Card Players is a series of oil paintings from the French Post-Impressionist artist Paul Cezanne. Painted during Cezanne's final period in the early 1890s, there are five paintings in the series. The versions vary in size and in the number of players depicted. The series is considered by critics to be a cornerstone of Cezanne's work during the early-to-mid 1890s period, as well as a ""prelude"" to his final years, when he painted some of his most acclaimed work.","The Card Players is a series of oil paintings from the French Post-Impressionist artist Paul Cezanne. Painted during Cezanne's final period in the early 1890s, there are five paintings in the series.",1890,134,182,Oil on canvas,200,275,,,http://en.wikipedia.org/wiki/The_Card_Players,"{""safeSearchAnnotation"":{""violence"":1,""racy"":1},""dominantColors"":[{""color"":{""red"":53,""green"":52,""blue"":51},""web"":""#353433"",""name"":""Acadia ""},{""color"":{""red"":143,""green"":154,""blue"":153},""web"":""#8F9A99"",""name"":""Submarine""},{""color"":{""red"":112,""green"":122,""blue"":121},""web"":""#707A79"",""name"":""Rolling Stone""},{""color"":{""red"":39,""green"":54,""blue"":72},""web"":""#273648"",""name"":""Licorice""},{""color"":{""red"":64,""green"":84,""blue"":104},""web"":""#405468"",""name"":""Cello""},{""color"":{""red"":146,""green"":102,""blue"":67},""web"":""#926643"",""name"":""McKenzie""}]}"
71,21,7,21060,Still Life with Milk Jug and Fruit,2,https://www.nga.gov/collection/art-object-page.53123.html,1972.9.5,Open Access,,,1900,55,46,Oil on canvas,1225,1300,,,,"{""safeSearchAnnotation"":{""violence"":1,""racy"":1},""dominantColors"":[{""color"":{""red"":187,""green"":96,""blue"":31},""web"":""#BB601F"",""name"":""Christine""},{""color"":{""red"":173,""green"":151,""blue"":121},""web"":""#AD9779"",""name"":""Bronco""},{""color"":{""red"":172,""green"":108,""blue"":32},""web"":""#AC6C20"",""name"":""Hot Toddy""},{""color"":{""red"":175,""green"":87,""blue"":52},""web"":""#AF5734"",""name"":""Fiery Orange""},{""color"":{""red"":207,""green"":138,""blue"":25},""web"":""#CF8A19"",""name"":""Buttercup""},{""color"":{""red"":75,""green"":80,""blue"":80},""web"":""#4b5050"",""name"":""Mako""}]}"
77,16,13,16080,Woman with a Pearl Necklace in a Loge,1,http://www.philamuseum.org/collections/permanent/72182.html,1978-01-05,Open Access,Woman with a Pearl Necklace in a Loge (or Lydia in a Loge) is an 1879 painting by American artist Mary Cassatt. The Philadelphia Museum of Art acquired the painting in 1978 from the bequest of Charlotte Dorrance Wright. The style in which it was painted and the depiction of shifting light and color was influenced by Impressionism. This painting shows a view of the modern woman and is similar in style to Degas.,The style in which it was painted and the depiction of shifting light and color was influenced by Impressionism. This painting shows a view of the modern woman and is similar in style to Degas.,1879,60,81,Oil on canvas,375,400,https://artsandculture.google.com/asset/twFaMNqHtSxehg,,https://en.wikipedia.org/wiki/Woman_with_a_Pearl_Necklace_in_a_Loge,"{""safeSearchAnnotation"":{""violence"":1,""racy"":2},""dominantColors"":[{""color"":{""red"":98,""green"":24,""blue"":22},""web"":""#621816"",""name"":""Red Oxide""},{""color"":{""red"":218,""green"":181,""blue"":181},""web"":""#DAB5B5"",""name"":""Oyster Pink""},{""color"":{""red"":212,""green"":188,""blue"":154},""web"":""#6C120A"",""name"":""Falu Red""},{""color"":{""red"":108,""green"":18,""blue"":10},""web"":""#53281E"",""name"":""Caput Mortuum""},{""color"":{""red"":220,""green"":192,""blue"":139},""web"":""#DCC08B"",""name"":""Zombie""},{""color"":{""red"":110,""green"":67,""blue"":57},""web"":""#6E4339"",""name"":""Metallic Copper""}]}"
78,24,28,24020,Death in the sickroom,3,http://www.nasjonalmuseet.no/en/collections_and_research/our_collections/edvard_munch_in_the_national_museum/Death+in+the+Sick-Room%2C+prob.+1893.b7C_wljU3c.ips,NG.M.00940,&copy; National Museum of Norway,"The picture shows what we can assume to be the artist's family grouped around his sister Sophie, who died in 1877. She is sitting in a chair with her back to us. To the right stands an aunt, Karen Bjolstad, who moved in with the family to take care of the children and the household after the mother died of tuberculosis in 1868. In the background stands the father, the doctor Christian Munch, with his hands clasped as if in prayer. Near the centre of the picture is a male figure, probably Edvard, in quarter-face. Sister Laura is sitting in the foreground with her hands in her lap, while the third sister, Inger, stands staring straight at us. The male figure to the left is generally identified as Edvard's younger brother Andreas. In Death in the SickRoom there is no physical contact between the people, except for the hand that aunt Karen has laid on the back of the chair in which the invalid sits.","The picture shows what we can assume to be the artist's family grouped around his sister Sophie, who died in 1877.",1892,134,160,Tempura and Crayon on canvas,250,275,,,,"{""safeSearchAnnotation"":{""violence"":1,""racy"":1},""dominantColors"":[{""color"":{""red"":109,""green"":112,""blue"":108},""web"":""#6D706C"",""name"":""Finlandia""},{""color"":{""red"":176,""green"":122,""blue"":87},""web"":""#b07a57"",""name"":""Medium Wood""},{""color"":{""red"":122,""green"":118,""blue"":96},""web"":""#7A7660"",""name"":""Kokoda""},{""color"":{""red"":77,""green"":91,""blue"":106},""web"":""#4D5B6A"",""name"":""Fiord""},{""color"":{""red"":114,""green"":82,""blue"":68},""web"":""#725244"",""name"":""Spice""},{""color"":{""red"":118,""green"":129,""blue"":100},""web"":""#768164"",""name"":""Camouflage Green""}]}"
79,24,28,24030,Cry (The Scream),1,http://www.nasjonalmuseet.no/en/collections_and_research/our_collections/edvard_munch_in_the_national_museum/The+Scream%2C+1893.b7C_wljU1a.ips,NG.M.00939,&copy; National Museum of Norway,"Scream is the title of expressionist paintings and prints in a series by Norwegian artist Edvard Munch, showing an agonized figure against a blood red sky. The landscape in the background is the Oslofjord, viewed from the hill of Ekeberg, in Oslo (then Kristiania), Norway.","Scream is the title of expressionist paintings and prints in a series by Norwegian artist Edvard Munch, showing an agonized figure against a blood red sky.",1893,91,74,"Oil, tempera and pastel on cardboard",175,225,https://www.google.com/culturalinstitute/beta/asset/the-scream/eQFdRTFKDtVQ1A,"The Scream is undoubtedly Munch‘«÷s most famous motif. It belongs to a series of motifs that Munch developed in Berlin and +‡sg+—rdsstrand in the 1890‘«÷s. Munch later gave the series the title Frieze of Life, and described this pictorial cycle as a poem of love, life and death.",http://en.wikipedia.org/wiki/The_Scream,"{""safeSearchAnnotation"":{""violence"":1,""racy"":1},""dominantColors"":[{""color"":{""red"":90,""green"":82,""blue"":80},""web"":""#5A5250"",""name"":""Tundora""},{""color"":{""red"":129,""green"":113,""blue"":92},""web"":""#81715C"",""name"":""Cement""},{""color"":{""red"":103,""green"":87,""blue"":71},""web"":""#675747"",""name"":""Tobacco Brown""},{""color"":{""red"":117,""green"":109,""blue"":101},""web"":""#756D65"",""name"":""Sandstone""},{""color"":{""red"":161,""green"":107,""blue"":75},""web"":""#a16b4b"",""name"":""Dark Tan""},{""color"":{""red"":168,""green"":89,""blue"":64},""web"":""#a85940"",""name"":""Sepia""}]}"
80,24,28,24040,Puberty,1,http://www.nasjonalmuseet.no/en/collections_and_research/our_collections/edvard_munch_in_the_national_museum/Puberty%2C+1894%E2%80%9395.b7C_wljWWK.ips,NG.M.00807,&copy; National Museum of Norway,Puberty is a painting created by Edvard Munch. Munch is an artist native to Norway and is widely known for his role in expressionistic art. Puberty has also been done as a lithograph and an etching by Munch.,Puberty is a painting created by Edvard Munch. Munch is an artist native to Norway and is widely known for his role in expressionistic art. Puberty has also been done as a lithograph and an etching by Munch.,1894,152,110,Oil on canvas,125,165,,,http://en.wikipedia.org/wiki/Puberty_(Edvard_Munch),"{""safeSearchAnnotation"":{""violence"":1,""racy"":5},""dominantColors"":[{""color"":{""red"":73,""green"":40,""blue"":26},""web"":""#49281A"",""name"":""Morocco Brown""},{""color"":{""red"":34,""green"":25,""blue"":22},""web"":""#221916"",""name"":""Wood Bark""},{""color"":{""red"":202,""green"":191,""blue"":162},""web"":""#CABFA2"",""name"":""Sisal""},{""color"":{""red"":99,""green"":78,""blue"":56},""web"":""#634E38"",""name"":""Dallas""},{""color"":{""red"":196,""green"":163,""blue"":109},""web"":""#c4a36d"",""name"":""Fallow""},{""color"":{""red"":168,""green"":124,""blue"":74},""web"":""#a87c4a"",""name"":""Muddy Waters""}]}"
81,24,28,24050,Madonna,1,http://www.nasjonalmuseet.no/en/collections_and_research/our_collections/edvard_munch_in_the_national_museum/Madonna%2C+1894%E2%80%9395.b7C_wljU5e.ips,NG.M.00841,&copy; National Museum of Norway,"Madonna is a painting by the Norwegian expressionist Edvard Munch. Munch painted five versions of the Madonna between 1894 and 1895, using oils on canvas. Although it is a highly unusual representation, nevertheless, this painting is of Mary, the mother of Jesus. True to the Norwegian cultural beliefs and way of life, the painting is a strong dose of conceivable realism.","Madonna is a painting by the Norwegian expressionist Edvard Munch. Munch painted five versions of the Madonna between 1894 and 1895, using oils on canvas. Although it is a highly unusual representation, nevertheless, this painting is of Mary, the mother of Jesus. True to the Norwegian cultural beliefs and way of life, the painting is a strong dose of conceivable realism.",1895,91,70,Oil on canvas,190,230,https://www.google.com/culturalinstitute/beta/asset/madonna/1gHp7gNaErg8lA,"The painting shows a young woman with long, black hair down her shoulders. The deep set eyes are closed as she leans her head back. With her arms held behind her head and back, she exposes her naked body. The wavy lines that surround her, give the impression that she is floating or soaring. The artist has given her a red hat reminiscent of a halo. In Munch‘«÷s art the colour red often symbolize love, passion or agony.",http://en.wikipedia.org/wiki/Madonna_(Edvard_Munch),"{""safeSearchAnnotation"":{""violence"":1,""racy"":4},""dominantColors"":[{""color"":{""red"":99,""green"":81,""blue"":60},""web"":""#63513C"",""name"":""Judge Grey""},{""color"":{""red"":58,""green"":51,""blue"":48},""web"":""#3A3330"",""name"":""Kilamanjaro""},{""color"":{""red"":175,""green"":148,""blue"":87},""web"":""#AF9457"",""name"":""Barley Corn""},{""color"":{""red"":132,""green"":57,""blue"":20},""web"":""#843914"",""name"":""Saddle Brown""},{""color"":{""red"":85,""green"":77,""blue"":72},""web"":""#554D48"",""name"":""Cork""},{""color"":{""red"":131,""green"":115,""blue"":86},""web"":""#837356"",""name"":""Shadow""}]}"
83,24,28,24070,Dance of Life,2,http://www.nasjonalmuseet.no/en/collections_and_research/our_collections/edvard_munch_in_the_national_museum/The+Dance+of+Life%2C+1899%E2%80%931900.b7C_wljW5c.ips,NG.M.00941,&copy; National Museum of Norway,"Munch's painting shows several couples dancing in a luminous summer night. The central element of the composition is a couple, of whom the woman is wearing a bright red dress that wraps itself around the feet of her dancing partner. Her loose hair swirling about him, they seem to become a single entity. This couple is flanked by two other women, one of them young and radiant in a white dress, the other pale, with sunken cheeks and dressed in black. It is as if a story were being told about various stages in a woman's life. Munch has set the scene on the seashore, a landscape with elements from Asgardstrand. Many of the pictures in Munch's protracted Frieze of Life project were inspired by Asgardstrand's curving shoreline and characteristic landscape.",Munch's painting shows several couples dancing in a luminous summer night. ,1900,126,190,Oil on canvas,250,325,https://www.google.com/culturalinstitute/beta/asset/the-dance-of-life/2QHHE-2HLPWV0g,"The motif Dance of Life is central to the series Frieze of Life. The first time Munch painted the motif was in 1899-1900. Many years later, in 1925, he painted it once more when he took up again several of the motifs from the Frieze of Life. The technique was different, but the motifs and colours were the same\r\nIn the middle a young couple are dancing. They seem to have melted together. The woman‘«÷s red dress wraps itself around the man‘«÷s leg. The red colour continues like a contour line around the man and runs into his clothes. They dance face to face, silent and unsmiling, and the woman‘«÷s hair blows towards the man. \r\nOn either side of the couple there is a woman. In from the left a young woman dressed in white comes towards us, bright and happy. On the right stands a woman dressed in black, rigid and serious.",,"{""safeSearchAnnotation"":{""violence"":1,""racy"":1},""dominantColors"":[{""color"":{""red"":158,""green"":44,""blue"":32},""web"":""#9E2C20"",""name"":""Brown""},{""color"":{""red"":35,""green"":65,""blue"":35},""web"":""#234123"",""name"":""Myrtle""},{""color"":{""red"":27,""green"":21,""blue"":20},""web"":""#1B1514"",""name"":""Seal Brown""},{""color"":{""red"":81,""green"":41,""blue"":30},""web"":""#51291E"",""name"":""Caput Mortuum""},{""color"":{""red"":206,""green"":188,""blue"":160},""web"":""#CEBCA0"",""name"":""Soft Amber""},{""color"":{""red"":90,""green"":84,""blue"":97},""web"":""#5a5461"",""name"":""Mobster""}]}"
88,28,19,28010,In Bed,2,https://www.musee-orsay.fr/en/collections/index-of-works/notice.html?no_cache=1&nnumid=00704&cHash=ff186a6bb4,RF 1937 38,Public Domain,,,1893,71,54,Oil on Cardboard,340,400,,,https://commons.wikimedia.org/wiki/File:Lautrec_in_bed_1893.jpg,"{""safeSearchAnnotation"":{""violence"":1,""racy"":3},""dominantColors"":[{""color"":{""red"":207,""green"":190,""blue"":167},""web"":""#CFBEA7"",""name"":""Soft Amber""},{""color"":{""red"":95,""green"":82,""blue"":65},""web"":""#5F5241"",""name"":""Judge Grey""},{""color"":{""red"":172,""green"":156,""blue"":136},""web"":""#AC9C88"",""name"":""Malta""},{""color"":{""red"":109,""green"":72,""blue"":62},""web"":""#6D483E"",""name"":""Spice""},{""color"":{""red"":143,""green"":67,""blue"":62},""web"":""#8f433e"",""name"":""Mojo""},{""color"":{""red"":201,""green"":132,""blue"":96},""web"":""#c98460"",""name"":""Burning Sand""}]}"
89,28,7,28050,The Medical Inspection at the Rue des Moulins Brothel,1,https://www.nga.gov/collection/art-object-page.46544.html,1963.10.69,Open Access,,,1894,61,84,Oil on cardboard,475,654,,,"https://commons.wikimedia.org/wiki/File:Lautrec_rue_des_moulins,_the_medical_inspection_1894.jpg","{""safeSearchAnnotation"":{""violence"":1,""racy"":4},""dominantColors"":[{""color"":{""red"":128,""green"":92,""blue"":78},""web"":""#805c4e"",""name"":""Spicy Mix""},{""color"":{""red"":131,""green"":115,""blue"":94},""web"":""#83735E"",""name"":""Cement""},{""color"":{""red"":85,""green"":89,""blue"":82},""web"":""#555952"",""name"":""Battleship Grey""},{""color"":{""red"":164,""green"":159,""blue"":137},""web"":""#A49F89"",""name"":""Dawn""},{""color"":{""red"":118,""green"":117,""blue"":106},""web"":""#76756A"",""name"":""Dove Grey""},{""color"":{""red"":67,""green"":92,""blue"":84},""web"":""#435C54"",""name"":""Stromboli""}]}"
101,2,17,2020,Andre Derain,1,http://www.tate.org.uk/art/artworks/matisse-andre-derain-n06241,N06241,Succession Henri Matisse/DACS 2016,"Matisse and Derain painted portraits of each other while staying at the port of Collioure in the south of France. Using vivid, apparently arbitrary, colours, Matisse has captured the sensation of sunlight striking the sitter's face and casting a heavy shadow down one side. He has also tried to create a dynamic but balanced relationship between complementary colours, such as blue and orange, red and green. Complementary colours 'complete' each other: they are at their most intense when placed together. Matisse adjusted his colours to obtain the maximum intensity. This non-naturalistic use of colour can be seen as a radical development of certain aspects of Impressionist art, and it led the critics to dub Matisse a 'fauve' (wild beast).","Using vivid, apparently arbitrary, colours, Matisse has captured the sensation of sunlight striking the sitter's face and casting a heavy shadow down one side.",1905,39,29,Oil on canvas,523,700,,,,"{""safeSearchAnnotation"":{""violence"":1,""racy"":1},""dominantColors"":[{""color"":{""red"":135,""green"":151,""blue"":185},""web"":""#8797B9"",""name"":""Rock Blue""},{""color"":{""red"":199,""green"":147,""blue"":124},""web"":""#c7937c"",""name"":""Feldspar ""},{""color"":{""red"":209,""green"":188,""blue"":159},""web"":""#D1BC9F"",""name"":""Soft Amber""},{""color"":{""red"":137,""green"":62,""blue"":81},""web"":""#893E51"",""name"":""Camelot""},{""color"":{""red"":102,""green"":125,""blue"":176},""web"":""#667DB0"",""name"":""Chetwode Blue""},{""color"":{""red"":109,""green"":151,""blue"":144},""web"":""#6d9790"",""name"":""Gumbo""}]}"
102,2,37,2030,Joy of Life,2,http://www.barnesfoundation.org/collections/art-collection/object/7199/le-bonheur-de-vivre-also-called-the-joy-of-life,BF719,&copy; The Barnes Foundation,"Le bonheur de vivre (The joy of Life), is a painting by Henri Matisse. In the central background of the piece is a group of figures that is similar to the group depicted in his painting The Dance (second version).","Le bonheur de vivre (The joy of Life), is a painting by Henri Matisse. In the central background of the piece is a group of figures that is similar to the group depicted in his painting The Dance (second version).",1905,175,241,Oil on canvas,900,1240,,,http://en.wikipedia.org/wiki/Le_bonheur_de_vivre,"{""safeSearchAnnotation"":{""violence"":1,""racy"":4},""dominantColors"":[{""color"":{""red"":197,""green"":172,""blue"":160},""web"":""#c5aca0"",""name"":""Silk""},{""color"":{""red"":196,""green"":166,""blue"":106},""web"":""#c4a66a"",""name"":""Laser""},{""color"":{""red"":90,""green"":119,""blue"":117},""web"":""#5a7775"",""name"":""Breaker Bay""},{""color"":{""red"":184,""green"":90,""blue"":52},""web"":""#b85a34"",""name"":""Smoke Tree""},{""color"":{""red"":219,""green"":192,""blue"":84},""web"":""#dbc054"",""name"":""Tacha""},{""color"":{""red"":210,""green"":205,""blue"":100},""web"":""#D2CD64"",""name"":""Goldenrod""}]}"
103,2,20,2040,Red Studio,3,http://www.moma.org/collection/works/78389?locale=en,8.1949,Succession H. Matisse / Artists Rights Society,"""Where I got the color red, to be sure, I just don't know,"" Matisse once remarked. ""I find that all these things . . . only become what they are to me when I see them together with the color red."" This painting features a small retrospective of Matisse's recent painting, sculpture, and ceramics, displayed in his studio. The artworks appear in color and in detail, while the room's architecture and furnishings are indicated only by negative gaps in the red surface. The composition's central axis is a grandfather clock without hands-it is as if, in the oasis of the artist's studio, time were suspended.","The artworks appear in color and in detail, while the room's architecture and furnishings are indicated only by negative gaps in the red surface. The composition's central axis is a grandfather clock without hands, it is as if, in the oasis of the artist's studio, time were suspended.",1911,181,219,Oil on canvas,1153,1175,,,,"{""safeSearchAnnotation"":{""violence"":1,""racy"":1},""dominantColors"":[{""color"":{""red"":136,""green"":44,""blue"":20},""web"":""#882C14"",""name"":""Burnt Umber""},{""color"":{""red"":212,""green"":130,""blue"":152},""web"":""#D48298"",""name"":""Can Can""},{""color"":{""red"":177,""green"":157,""blue"":99},""web"":""#B19D63"",""name"":""Barley Corn""},{""color"":{""red"":165,""green"":176,""blue"":164},""web"":""#a5b0a4"",""name"":""Spring Rain""},{""color"":{""red"":162,""green"":125,""blue"":87},""web"":""#a27d57"",""name"":""Muesli""},{""color"":{""red"":67,""green"":63,""blue"":55},""web"":""#433f37"",""name"":""Onion""}]}"
105,32,7,32010,Charing Cross Bridge,2,http://www.nga.gov/content/ngaweb/Collection/art-object-page.61249.html,1982.76.3,Open Access,,,1905,80,100,Oil on canvas,500,800,,,,"{""safeSearchAnnotation"":{""violence"":1,""racy"":1},""dominantColors"":[{""color"":{""red"":38,""green"":45,""blue"":103},""web"":""#262D67"",""name"":""Deep Koamaru""},{""color"":{""red"":226,""green"":189,""blue"":55},""web"":""#E2BD37"",""name"":""Bright Sun""},{""color"":{""red"":77,""green"":134,""blue"":85},""web"":""#4D8655"",""name"":""Killarney""},{""color"":{""red"":209,""green"":198,""blue"":168},""web"":""#D1C6A8"",""name"":""Double Spanish White""},{""color"":{""red"":134,""green"":167,""blue"":127},""web"":""#86A77F"",""name"":""Amulet""},{""color"":{""red"":178,""green"":90,""blue"":91},""web"":""#B25A5B"",""name"":""Hippie Pink""}]}"
114,40,11,40020,Improvisation No. 30 (Cannons),3,http://www.artic.edu/aic/collections/artwork/8991,,Rights-Managed (RM),"Although Improvisation No. 30 (Cannons) at first appears to be an almost random assortment of brilliant colors, shapes, and lines, the artist also included leaning buildings, a crowd of people, and a wheeled, smoking cannon.","Although Improvisation No. 30 (Cannons) at first appears to be an almost random assortment of brilliant colors, shapes, and lines, the artist also included leaning buildings, a crowd of people, and a wheeled, smoking cannon.",1913,109,109,Oil on canvas,530,700,,,,"{""safeSearchAnnotation"":{""violence"":1,""racy"":1},""dominantColors"":[{""color"":{""red"":58,""green"":86,""blue"":136},""web"":""#3A5688"",""name"":""Fun Blue""},{""color"":{""red"":86,""green"":122,""blue"":116},""web"":""#567A74"",""name"":""William""},{""color"":{""red"":160,""green"":105,""blue"":63},""web"":""#A0693F"",""name"":""Desert""},{""color"":{""red"":205,""green"":145,""blue"":61},""web"":""#CD913D"",""name"":""Anzac""},{""color"":{""red"":235,""green"":189,""blue"":60},""web"":""#EBBD3C"",""name"":""Bright Sun""},{""color"":{""red"":196,""green"":63,""blue"":52},""web"":""#C43F34"",""name"":""Persian Red""}]}"
115,40,24,40010,Composition VI,2,https://www.hermitagemuseum.org/wps/portal/hermitage/digital-collection/01.+Paintings/35744/?lng=en,9662,Personal non-commercial use,"Abandoning objectivity in a depiction and immersing himself in ìthe resonance of colour and shapeî, Kandinsky successfully came up with three types of abstract painting. Impressions, born under the influence of the outside world, and improvisations, reflecting inner emotional experience, were created in isolation from figurativeness, but still retained a link with reality. It was in the third type of painting, compositions, that Kandinskyís long years of creative searching found their fullest expression. The essence of the artistís creative work shifted into the expressiveness of line and colours that are not connected with the world of objects and are directed to the sphere of emotions and sensations. The starting point for Composition VI was a picture on glass called The Flood that the artist sought to rethink. An inner sense of catastrophe, expressed in an abstract form, is the content of the canvas.","Abandoning objectivity in a depiction and immersing himself in ìthe resonance of colour and shapeî, Kandinsky successfully came up with three types of abstract painting. Impressions, born under the influence of the outside world, and improvisations, reflecting inner emotional experience, were created in isolation from figurativeness, but still retained a link with reality.",1913,195,300,Oil on canvas,203,220,,,,"{""safeSearchAnnotation"":{""violence"":1,""racy"":1},""dominantColors"":[{""color"":{""red"":213,""green"":189,""blue"":161},""web"":""#D5BDA1"",""name"":""Soft Amber""},{""color"":{""red"":196,""green"":147,""blue"":130},""web"":""#C49382"",""name"":""Quicksand""},{""color"":{""red"":128,""green"":7,""blue"":18},""web"":""#800712"",""name"":""Burgundy""},{""color"":{""red"":227,""green"":178,""blue"":158},""web"":""#E3B29E"",""name"":""Wax Flower""},{""color"":{""red"":56,""green"":110,""blue"":134},""web"":""#386e86"",""name"":""Astral""},{""color"":{""red"":197,""green"":143,""blue"":71},""web"":""#c58f47"",""name"":""Tussock""}]}"
118,41,51,41010,Dynamism of a Dog on a Leash,2,https://www.albrightknox.org/collection/search/piece:505/,505,Public Domain,,,1912,90,110,Oil on canvas,300,400,,,https://en.wikipedia.org/wiki/Dynamism_of_a_Dog_on_a_Leash,"{""safeSearchAnnotation"":{""violence"":1,""racy"":1},""dominantColors"":[{""color"":{""red"":186,""green"":191,""blue"":187},""web"":""#babfbb"",""name"":""Paris White""},{""color"":{""red"":103,""green"":121,""blue"":147},""web"":""#677993"",""name"":""Slate Grey""},{""color"":{""red"":162,""green"":53,""blue"":28},""web"":""#a2351c"",""name"":""Rock Spray""},{""color"":{""red"":54,""green"":67,""blue"":46},""web"":""#36432e"",""name"":""Mallard""},{""color"":{""red"":147,""green"":106,""blue"":110},""web"":""#936a6e"",""name"":""Mauve Taupe""},{""color"":{""red"":122,""green"":142,""blue"":92},""web"":""#7a8e5c"",""name"":""Highland""}]}"
119,41,35,41020,Abstract Speed + Sound,2,https://www.guggenheim.org/artwork/300,76.2553.31,Artists Rights Society,"It has been proposed that Abstract Speed + Sound< was the central section of a narrative triptych suggesting the alteration of landscape by the passage of a car through the atmosphere. The related Abstract Speed and Abstract Speed The Car Has Passed would have been the flanking panels. Indications of sky and a single landscape are present in the three paintings; the interpretation of fragmented evocations of the car's speed varies from panel to panel. The Peggy Guggenheim work is distinguished by crisscross motifs, representing sound, and a multiplication of the number of lines and planes.",It has been proposed that Abstract Speed + Sound< was the central section of a narrative triptych suggesting the alteration of landscape by the passage of a car through the atmosphere. ,1913,54,76,Oil on millboard,320,360,,,http://www.guggenheim.org/new-york/collections/collection-online/show-full/piece/?search=Giacomo%20Balla&page=1&f=People&cr=1,"{""safeSearchAnnotation"":{""violence"":1,""racy"":1},""dominantColors"":[{""color"":{""red"":230,""green"":232,""blue"":229},""web"":""#E6E8E5"",""name"":""Panache""},{""color"":{""red"":95,""green"":121,""blue"":150},""web"":""#5F7996"",""name"":""Waikawa Grey""},{""color"":{""red"":39,""green"":60,""blue"":30},""web"":""#273C1E"",""name"":""Black Forest""},{""color"":{""red"":150,""green"":111,""blue"":123},""web"":""#966F7B"",""name"":""Venus""},{""color"":{""red"":170,""green"":39,""blue"":11},""web"":""#AA270B"",""name"":""Fire Brick""},{""color"":{""red"":81,""green"":115,""blue"":165},""web"":""#5173A5"",""name"":""San Marino""}]}"
124,45,20,45020,Persistence of Memory,3,http://www.moma.org/collection/works/79018?locale=en,162.1934,"Salvador Dali, Gala-Salvador Dali Foundation / Artists Rights Society","The Persistence of Memory is by far Salvador Dali's most recognizable paintings, and there are many references to it in popular culture. Although it was conjectured that the soft melting watches were the result of Dali's interpretation of the theory of relativity, Dali himself state that their inspiration was camembert cheese melting under the sun. The sequence of melting clocks in a disjointed landscape is the depiction of a dream that Dali had experienced, the figure in the middle of the painting being the face of the dreamer himself. The general interpretation is that the painting, which portrays many melting watches, is a rejection of time as a solid and deterministic influence.","The Persistence of Memory is by far Salvador Dali's most recognizable paintings, and there are many references to it in popular culture.",1931,24,33,Oil on canvas,800,900,,,http://en.wikipedia.org/wiki/The_Persistence_of_Memory,"{""safeSearchAnnotation"":{""violence"":1,""racy"":1},""dominantColors"":[{""color"":{""red"":83,""green"":75,""blue"":49},""web"":""#534B31"",""name"":""Punga""},{""color"":{""red"":172,""green"":168,""blue"":132},""web"":""#ACA884"",""name"":""Neutral Green""},{""color"":{""red"":86,""green"":86,""blue"":80},""web"":""#565650"",""name"":""Ship Grey""},{""color"":{""red"":50,""green"":48,""blue"":41},""web"":""#323029"",""name"":""Graphite""},{""color"":{""red"":111,""green"":112,""blue"":108},""web"":""#6F706C"",""name"":""Gunsmoke""},{""color"":{""red"":122,""green"":145,""blue"":139},""web"":""#7a918b"",""name"":""Granny Smith""}]}"
